ean,nombre,marca,kcal_100g,proteina_100g,hidratos_100g,grasas_100g,rol_principal,grupo_mediterraneo,frecuencia_mediterranea,permitido_comidas,categorias,,,
8480000094926,Muesli 50% frutas y frutos secos,"Hacendado, Mercadona",367.0,6.8,60.0,9.3,hidrato,frutos_secos,regular,"desayuno,media_manana,merienda,postre","Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Cereals with fruits,Mueslis,Mueslis with fruits",,,
8480000209962,Yogur Proteínas Fresa 0%,HACENDADO,53.0,8.3,5.0,0.5,proteina,lacteo,regular,"desayuno,media_manana,merienda,postre","Lácteos,Comidas fermentadas,Productos fermentados de la leche,Postres,Postres lácteos,en:Fermented dairy desserts,en:Fermented dairy desserts with fruits,Yogures,Yogures de frutas,Yogures con fresa",,,
8480000136824,Bebida de Soja,Hacendado,35.0,3.4,0.8,1.9,proteina,legumbre,regular,"almuerzo,cena","en:Beverages and beverages preparations,Alimentos e bebidas à base de plantas,Bebidas,Alimentos à base de plantas,Legumes e seus produtos,en:Dairy substitutes,Substitutos do leite,Bebidas à base de plantas,Leites de planta,Produtos pasteurizados,Leites de legumes,Bebidas de soja,en:UHT soy based drinks",,,
8480000233592,Pan de molde blanco natural rústico,Hacendado,265.0,9.1,47.0,4.5,hidrato,pan_cereal,variable,"desayuno,media_manana,almuerzo,merienda,cena","Alimentos e bebidas à base de plantas,Alimentos à base de plantas,Cereais e batatas,Pães,Pães de forma",,,
8480000823281,Pan de Molde 100% Integral,Hacendado,238.0,11.0,37.0,3.2,hidrato,cereal_integral,frecuente,"desayuno,media_manana,almuerzo,merienda,cena","Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Cereales y patatas,Panes,Panes de molde,Panes integrales,Panes de molde integrales",,,
8480000134073,Mayonesa,Hacendado,599.0,0.6,2.4,65.0,grasa,otros,variable,"almuerzo,cena","Condimentos,Molhos,Maioneses",,,
8402001009266,Confitura de Fresa 0%,Hacendado,40.0,0.6,11.5,0.0,hidrato,verdura,frecuente,"almuerzo,cena","Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Desayunos,Untables,Untables vegetales,Untables dulces,Preparaciones a base de frutas y verduras,Confitura,Mermeladas y confituras de frutas del bosque,Mermeladas y confituras de fresa,en:Mermelada",,,
8480000510716,Queso fresco batido desnatado,Hacendado,46.0,8.0,3.5,0.5,proteina,queso_curado,moderada,"media_manana,almuerzo,merienda,cena","Lácteos,Comidas fermentadas,Productos fermentados de la leche,Quesos,Postres,Postres lácteos,en:Fermented dairy desserts,en:Fromages blancs - petit suisses and skyr,Queso fresco,fr:Fromages blancs",,,
8480000592569,Jamón cocido lonchas,Hacendado,204.0,38.0,2.0,5.2,proteina,embutido_ultra,ocasional,"media_manana,almuerzo,merienda,cena","Productos a base de carne,Carnes,Embutidos,Jamón,Jamón cocido,en:Cooked ham choice",,,
8480000156624,Kéfir natural,Hacendado,36.0,3.92,4.8,0.52,"proteina,hidrato",lacteo,regular,"desayuno,media_manana,merienda,postre","Bebidas, Lácteos, Comidas fermentadas, Productos fermentados de la leche, Bebida lácteas, Bebidas fermentadas, Bebidas de leche fermentada, Kéfir",,,
8480000512031,Queso crema suave,"Entrepinares,Hacendado",241.0,4.2,3.7,23.0,grasa,queso_curado,moderada,"media_manana,almuerzo,merienda,cena","Lácteos,Comidas fermentadas,Productos fermentados de la leche,Quesos,Untables,Untables salados,Quesos de vaca,Queso fresco,Quesos pasteurizados,Quesos para untar",,,
8480000505453,Havarti,Hacendado,1580.0,76.0,5.2,140.0,grasa,queso_curado,moderada,"media_manana,almuerzo,merienda,cena","Lácteos,Comidas fermentadas,Productos fermentados de la leche,Quesos,Quesos de vaca,Quesos daneses,Havarti",,,
8480000867865,Pechuga de pavo reducido en sal finas lonchas,Hacendado,76.0,16.5,1.3,0.5,proteina,embutido_ultra,ocasional,"media_manana,almuerzo,merienda,cena","Productos a base de carne,Carnes,Embutidos,Aves,Pavo y sus productos,Pavo,fr:Charcuteries cuites,en:Poultry hams,Fiambre de pechuga de pavo",,,
8480000180186,Atún claro al natural,Hacendado,98.0,21.0,0.9,1.2,proteina,pescado,regular,"almuerzo,cena","Productos del mar,en:Fishes and their products,Conservas,Pescados,en:Fatty fishes,Conservas de pescado,Atunes,Atun en conserva,Atún al natural",,,
8480000094889,Copos de trigo integral y arroz 0% azúcares añadidos,"Hacendado,Mercadona",373.0,10.3,75.0,1.67,hidrato,dulce,ocasional,"desayuno,media_manana,almuerzo,merienda,cena,postre","Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Desayunos,Cereales y patatas,Cereales y derivados,Cereales para el desayuno",,,
8480000838865,Pan de molde 100% integral familiar,Hacendado,247.0,8.75,40.6,3.75,hidrato,cereal_integral,frecuente,"desayuno,media_manana,almuerzo,merienda,cena","Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Cereales y patatas,Panes,Panes de molde,Panes integrales,Panes de molde integrales",,,
8480000171634,Tomate frito receta artesana,Hacendado,201.0,1.6,14.3,15.0,"hidrato,grasa",verdura,frecuente,"almuerzo,cena","Condimentos,Salsas,en:Meal sauces,Salsas de tomate,Salsas de tomate frito",,,
8480000860743,Jamón cocido extra finas lonchas,Hacendado,101.0,18.6,0.9,2.5,proteina,embutido_ultra,ocasional,"media_manana,almuerzo,merienda,cena","Productos a base de carne,Carnes,Embutidos,Jamón,Jamón cocido",,,
8480000212566,Yogur natural proteínas 0%,Hacendado,52.0,10.0,3.1,0.5,proteina,lacteo,regular,"desayuno,media_manana,merienda,postre","Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Fermented dairy desserts, Plain fermented dairy desserts, en:yogurts",,,
8480000862150,Picos 100% integrales,Hacendado,379.0,14.0,60.9,6.4,hidrato,cereal_integral,frecuente,"desayuno,media_manana,almuerzo,merienda,cena","Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Cereales y patatas,Panes,Colines,Picos de pan",,,
8480000213587,Griego Ligero Natural,Hacendado,60.0,5.8,4.7,2.0,"proteina,hidrato",lacteo,regular,"desayuno,media_manana,merienda,postre","en:Plain low-fat yogurts,en:Plain greek-style yogurts",,,
8480000511973,Queso feta,Hacendado,277.0,16.0,1.0,23.2,grasa,queso_curado,moderada,"media_manana,almuerzo,merienda,cena","Dairies,Fermented foods,Fermented milk products,Cheeses,Greek cheeses,Sheep's-milk cheeses,Feta",,,
8480000095329,Cereal mix 0% azúcares añadidos,Hacendado,372.0,9.4,80.4,2.7,hidrato,dulce,ocasional,"desayuno,media_manana,almuerzo,merienda,cena,postre","Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Desayunos,Cereales y patatas,Cereales y derivados,Cereales para el desayuno,Granos inflados,Cereales inflados",,,
